CONSTITUENCY,WINNER,PARTY,STATE,YEAR
MANGALDOI,MADHAB RAJBANGSHI,INC,Assam,1999
TEZPUR,MONI KUMAR SUBBA,INC,Assam,1999
NOWGONG,RAJEN GOHAIN,BJP,Assam,1999
KALIABOR,TARUN GOGOI,INC,Assam,1999
JORHAT,BIJOY KRISHNA HANDIQUE,INC,Assam,1999
DIBRUGARH,PABAN SINGH GHATOWAR,INC,Assam,1999
LAKHIMPUR,RANEE NARAH,INC,Assam,1999
BAGAHA (SC),MAHENDRA BAITHA,JD(U),Bihar,1999
BETTIAH,DR MADAN PRASAD JAISWAL,BJP,Bihar,1999
MOTIHARI,RADHA MOHAN SINGH,BJP,Bihar,1999
GOPALGANJ,RAGHUNATH JHA,JD(U),Bihar,1999
SIWAN,M SAHABUDDIN,RJD,Bihar,1999
MAHARAJGANJ,PRABHUNATH SINGH,JD(U),Bihar,1999
CHAPRA,RAJIV PRATAP RUDI,BJP,Bihar,1999
HAJIPUR (SC),RAM VILAS PASWAN,JD(U),Bihar,1999
VAISHALI,RAGHUVANSH PRASAD SINGH,RJD,Bihar,1999
MUZAFFARPUR,CAPTAIN JAI NA. PD. NISHAD,JD(U),Bihar,1999
SITAMARHI,NAWAL KISHORE RAI,JD(U),Bihar,1999
SHEOHAR,MD ANWARUL HAQUE,RJD,Bihar,1999
MADHUBANI,HUKUMDEO NARAYAN YADAV,BJP,Bihar,1999
JHANJHARPUR,DEVENDRA PRASAD YADAV,JD(U),Bihar,1999
DARBHANGA,KIRTI AZAD,BJP,Bihar,1999
ROSERA (SC),RAM CHANDRA PASWAN,JD(U),Bihar,1999
SAMASTIPUR,MANJAY LAL,JD(U),Bihar,1999
BARH,NITISH KUMAR,JD(U),Bihar,1999
BALIA,RAMJIVAN SINGH,JD(U),Bihar,1999
SAHARSA,DINESH CHANDRA YADAV,JD(U),Bihar,1999
MADHEPURA,SHARAD YADAV,JD(U),Bihar,1999
ARARIA (SC),SUKDEO PASWAN,RJD,Bihar,1999
KISHANGANJ,SYED SHAHNAWAZ HUSSAIN,BJP,Bihar,1999
PURNEA,RAJESH RANJAN,IND,Bihar,1999
KATIHAR,NIKHIL KUMAR CHOUDHARY,BJP,Bihar,1999
RAJMAHAL (ST),THOMAS HANSDA,INC,Bihar,1999
DUMKA (ST),BABU LAL MARANDI,BJP,Bihar,1999
GODDA,JAGDAMBI PRASAD YADAV,BJP,Bihar,1999
BANKA,DIGVIJAY SINGH,JD(U),Bihar,1999
BHAGALPUR,SUBODH RAY,CPM,Bihar,1999
KHAGARIA,RENU KUMARI,JD(U),Bihar,1999
MONGHYR,BRAHMA NAND MANDAL,JD(U),Bihar,1999
BEGUSARAI,RAJO SINGH,INC,Bihar,1999
NALANDA,GEORGE FERNANDES,JD(U),Bihar,1999
PATNA,C P THAKUR,BJP,Bihar,1999
ARRAH,RAM PRASAD SINGH,RJD,Bihar,1999
BUXAR,LAL MUNI CHOUBEY,BJP,Bihar,1999
SASARAM (SC),MUNI LALL,BJP,Bihar,1999
BIKRAMGANJ,KANTI SINGH,RJD,Bihar,1999
AURANGABAD,SHYAMA SINGH,INC,Bihar,1999
JAHANABAD,ARUN KUMAR,JD(U),Bihar,1999
NAWADA (SC),SANJAY PASWAN,BJP,Bihar,1999
GAYA (SC),RAMJI MANJHI,BJP,Bihar,1999
CHATRA,NAGMANI,RJD,Bihar,1999
KODARMA,TILAKDHARI PD SINGH,INC,Bihar,1999
GIRIDIH,RAVINDRA KUMAR PANDEY,BJP,Bihar,1999
DHANBAD,RITA VERMA,BJP,Bihar,1999
HAZARIBAGH,YASHWANT SINHA,BJP,Bihar,1999
RANCHI,RAM TAHAL CHOUDHARY,BJP,Bihar,1999
JAMSHEDPUR,ABHA MAHATO,BJP,Bihar,1999
SINGHBHUM (ST),LAXMAN GILUA,BJP,Bihar,1999
KHUNTI (ST),KARIYA MUNDA,BJP,Bihar,1999
LOHARDAGA (ST),DUKHA BHAGAT,BJP,Bihar,1999
PALAMU (SC),BRAJ MOHAN RAM,BJP,Bihar,1999
PANAJI,SHRIPAD YASSO NAIK,BJP,Goa,1999
MORMUGAO,ANGLE RAMAKANT SOIRU,BJP,Goa,1999
KUTCH,GADHVI PUSHPADAN SAMBHUDAN,BJP,Gujarat,1999
SURENDRANAGAR,MAKWANA SAVSHIBHAI KANJIBHAI,INC,Gujarat,1999
JAMNAGAR,KORADIYA CHANDRESHBHAI VALJIBHAI (CHANDRESH PATEL),BJP,Gujarat,1999
RAJKOT,DR KATHIRIYA VALLABHBHAI RAMJIBHAI,BJP,Gujarat,1999
PORBANDAR,JAVIYA GORDHANBHAI JADAVBHAI,BJP,Gujarat,1999
JUNAGADH,CHIKHALIYA BHAVNABEN DEVRAJBHAI,BJP,Gujarat,1999
AMRELI,DILEEP SANGHANI,BJP,Gujarat,1999
BHAVNAGAR,RANA RAJENDRASINH GHANSHYAMSINH (RAJUBHAI RANA),BJP,Gujarat,1999
DHANDHUKA (SC),VARMA RATILAL KALIDAS,BJP,Gujarat,1999
AHMEDABAD,HARIN PATHAK,BJP,Gujarat,1999
GANDHINAGAR,LAL KRISHNA ADVANI (L K ADVANI),BJP,Gujarat,1999
MEHSANA,PATEL ATMARAM MAGANBHAI,INC,Gujarat,1999
PATAN (SC),RASHTRAPAL PRAVINCHANDRA SOMABHAI,INC,Gujarat,1999
BANASKANTHA,CHAUDHARY HARIBHAI PARTHIBHAI,BJP,Gujarat,1999
SABARKANTHA,NISHA AMARSINH CHAUDHARY,INC,Gujarat,1999
KAPADVANJ,VAGHELA SHANKARSINH LAXMANSINH,INC,Gujarat,1999
DOHAD (ST),KATARA BABUBHAI KHIMABHAI,BJP,Gujarat,1999
GODHRA,SOLANKI BHUPENDRASINH PRABHATSINH,BJP,Gujarat,1999
KAIRA,DINSHA PATEL,INC,Gujarat,1999
ANAND,PATEL DIPAKBHAI CHIMANBHAI (SATHI),BJP,Gujarat,1999
CHHOTA UDAIPUR (ST),RAMSINH RATHAWA,BJP,Gujarat,1999
BARODA,JAYABEN THAKKAR,BJP,Gujarat,1999
BROACH,MANSUKHBHAI VASAVA,BJP,Gujarat,1999
SURAT,KASHIRAM RANA,BJP,Gujarat,1999
MANDVI (ST),PATEL MANSINHBHAI KALYANJI,BJP,Gujarat,1999
BULSAR (ST),MANIBHAI RAMJIBHAI CHAUDHARI,BJP,Gujarat,1999
AMBALA (SC),RATTAN LAL KATARIA,BJP,Haryana,1999
KURUKSHETRA,PROF KAILASHO DEVI,INLD,Haryana,1999
KARNAL,I.D. SWAMI,BJP,Haryana,1999
SONEPAT,KISHAN SINGH SANGWAN,BJP,Haryana,1999
ROHTAK,INDER SINGH,INLD,Haryana,1999
FARIDABAD,RAM CHANDER BAINDA,BJP,Haryana,1999
MAHENDRAGARH,DR. SUDHA YADAV,BJP,Haryana,1999
BHIWANI,AJAY SINGH CHAUTALA,INLD,Haryana,1999
HISSAR,SURENDER SINGH BARWALA,INLD,Haryana,1999
SIRSA (SC),DR. SUSHIL KUMAR INDORA,INLD,Haryana,1999
SIMLA (SC),LT. COL. DHANI RAM SHANDIL,HVC,Himachal Pradesh,1999
MANDI,MAHESHWAR SINGH,BJP,Himachal Pradesh,1999
KANGRA,SHANTA KUMAR,BJP,Himachal Pradesh,1999
HAMIRPUR,SURESH CHANDEL,BJP,Himachal Pradesh,1999
BARAMULLA,ABDUL RASHID SHAHEEN,JKN,Jammu Kashmir,1999
SRINAGAR,OMER ABDULLAH,JKN,Jammu Kashmir,1999
ANANTNAG,ALI MOHD NAIK,JKN,Jammu Kashmir,1999
LADAKH,HASSAN KHAN,JKN,Jammu Kashmir,1999
UDHAMPUR,PROF. CHAMAN LAL GUPTA,BJP,Jammu Kashmir,1999
JAMMU,VISHNO DATT SHARMA,BJP,Jammu Kashmir,1999
BIDAR (SC),RAMCHANDRA VEERAPPA,BJP,Karnataka,1999
GULBARGA,IQBAL AHEMED SARADGI,INC,Karnataka,1999
RAICHUR,A. VENKATESH NAIK,INC,Karnataka,1999
KOPPAL,H.G.RAMULU,INC,Karnataka,1999
BELLARY,SONIA GANDHI,INC,Karnataka,1999
DAVANGERE,G.MALLIKARJUNAPPA,BJP,Karnataka,1999
CHITRADURGA,SHASHI KUMAR,JD(U),Karnataka,1999
TUMKUR,G.S.BASAVARAJ,INC,Karnataka,1999
CHIKBALLAPUR,R.L. JALAPPA,INC,Karnataka,1999
KOLAR (SC),K.H. MUNIYAPPA,INC,Karnataka,1999
KANAKAPURA,M.V.CHANDRASHEKARA MURTHY,INC,Karnataka,1999
BANGALORE NORTH,C.K JAFFAR SHARIEF,INC,Karnataka,1999
BANGALORE SOUTH,ANANTH KUMAR,BJP,Karnataka,1999
MANDYA,AMBAREESH @ AMARANATHA .M.H,INC,Karnataka,1999
CHAMARAJANAGAR (SC),V.SREENIVASAPRASAD,JD(U),Karnataka,1999
MYSORE,SRIKANTADATTA NARASIMHARAJA WADIYAR,INC,Karnataka,1999
MANGALORE,V.DHANANJAYA KUMAR,BJP,Karnataka,1999
UDUPI,VINAY KUMAR SORAKE,INC,Karnataka,1999
HASSAN,G.PUTTA SWAMY GOWDA,INC,Karnataka,1999
CHIKMAGALUR,D.C.SRIKANTAPPA,BJP,Karnataka,1999
SHIMOGA,S.BANGARAPPA,INC,Karnataka,1999
KANARA,ALVA MARGARET,INC,Karnataka,1999
DHARWAD SOUTH,PROF. I.G. SANADI,INC,Karnataka,1999
DHARWAD NORTH,VIJAY SANKESHWAR,BJP,Karnataka,1999
BELGAUM,AMARSINH VASANTARAO PATIL,INC,Karnataka,1999
CHIKKODI (SC),JIGAJINAGI RAMESHCHANDAPPA,JD(U),Karnataka,1999
BAGALKOT,R.S. PATIL,INC,Karnataka,1999
BIJAPUR,BASANGOUDA RAMANGOUDA PATIL(YATNAL),BJP,Karnataka,1999
KASARAGOD,T. GOVINDAN,CPM,Kerala,1999
CANNANORE,A.P. ABDULLAKKUTTY,CPM,Kerala,1999
BADAGARA,A.K. PREMAJAM,CPM,Kerala,1999
CALICUT,K. MURALEEDHARAN,INC,Kerala,1999
MANJERI,E. AHAMED,MUL,Kerala,1999
PONNANI,G.M. BANATWALLA,MUL,Kerala,1999
PALGHAT,N.N.KRISHNADAS,CPM,Kerala,1999
OTTAPALAM (SC),S. AJAYAKUMAR,CPM,Kerala,1999
TRICHUR,A.C. JOSE,INC,Kerala,1999
MUKUNDAPURAM,K. KARUNAKARAN,INC,Kerala,1999
ERNAKULAM,ADV. GEORGE EDEN,INC,Kerala,1999
MUVATTUPUZHA,ADV. P.C. THOMAS,KEC(M),Kerala,1999
KOTTAYAM,SURESH KURUP,CPM,Kerala,1999
IDUKKI,K. FRANCIS GEORGE,KEC,Kerala,1999
ALLEPPEY,V.M. SUDHEERAN,INC,Kerala,1999
MAVELIKARA,RAMESH CHENNITHALA,INC,Kerala,1999
ADOOR (SC),KODIKUNNIL SURESH,INC,Kerala,1999
QUILON,P. RAJENDRAN,CPM,Kerala,1999
CHIRAYINKIL,VARKALA RADHAKRISHNAN,CPM,Kerala,1999
TRIVANDRUM,ADVOCATE V.S. SIVAKUMAR,INC,Kerala,1999
MORENA (SC),ASHOK CHHAVIRAM ARGAL,BJP,Madhya Pradesh,1999
BHIND,DR. RAMLAKHAN SINGH,BJP,Madhya Pradesh,1999
GWALIOR,JAIBHAN SINGH PAVAIYA,BJP,Madhya Pradesh,1999
GUNA,MADHAVRAO SCINDIA,INC,Madhya Pradesh,1999
SAGAR (SC),VIRENDRA KUMAR,BJP,Madhya Pradesh,1999
KHAJURAHO,SATYAVRAT CHATURVEDI ( VINOD BHAIYA ),INC,Madhya Pradesh,1999
DAMOH,DR. RAMKRISHNA KUSMARIA,BJP,Madhya Pradesh,1999
SATNA,RAMANAND SINGH,BJP,Madhya Pradesh,1999
REWA,SUNDER LAL TIWARI,INC,Madhya Pradesh,1999
SIDHI (ST),CHANDRA PRATAP SINGH ( BABA SAHAB),BJP,Madhya Pradesh,1999
SHAHDOL (ST),DALPAT SINGH,BJP,Madhya Pradesh,1999
SURGUJA (ST),KHEL SAI SINGH,INC,Madhya Pradesh,1999
RAIGARH (ST),VISHNUDEO SAI,BJP,Madhya Pradesh,1999
JANJGIR,DR. CHARANDAS MAHANT,INC,Madhya Pradesh,1999
BILASPUR (SC),PUNNULAL MOHALE,BJP,Madhya Pradesh,1999
SARANGARH (SC),P. R. KHUTE,BJP,Madhya Pradesh,1999
RAIPUR,RAMESH BAIS,BJP,Madhya Pradesh,1999
MAHASAMUND,SHYAMA CHARAN SHUKLA,INC,Madhya Pradesh,1999
KANKER (ST),SOHAN POTAI,BJP,Madhya Pradesh,1999
BASTAR (ST),BALIRAM KASHYAP,BJP,Madhya Pradesh,1999
DURG,TARA CHAND SAHU,BJP,Madhya Pradesh,1999
RAJNANDGAON,DR. RAMAN,BJP,Madhya Pradesh,1999
BALAGHAT,PRAHLADSINGH PATEL,BJP,Madhya Pradesh,1999
MANDLA (ST),FAGGAN SINGH KULASTE,BJP,Madhya Pradesh,1999
JABALPUR,JAISHREE BANERJEE ( BHABHI JI),BJP,Madhya Pradesh,1999
SEONI,RAM NARESH TRIPATHI,BJP,Madhya Pradesh,1999
CHHINDWARA,KAMAL NATH,INC,Madhya Pradesh,1999
BETUL,"VIJAY KUMAR KHANDELWAL "" MUNNI BHAIYA""",BJP,Madhya Pradesh,1999
HOSHANGABAD,SUNDAR LAL PATWA,BJP,Madhya Pradesh,1999
BHOPAL,UMA BHARTI,BJP,Madhya Pradesh,1999
VIDISHA,SHIVRAJ SINGH,BJP,Madhya Pradesh,1999
RAJGARH,LAXMAN SINGH,INC,Madhya Pradesh,1999
SHAJAPUR (SC),THAVARCHAND GEHLOT,BJP,Madhya Pradesh,1999
KHANDWA,NANDKUMARSINGH CHOUHAN ( NANDU BHAIYA),BJP,Madhya Pradesh,1999
KHARGONE,TARACHAND PATEL,INC,Madhya Pradesh,1999
DHAR (ST),GAJENDRA SINGH RAJUKHEDI,INC,Madhya Pradesh,1999
INDORE,SUMITRA MAHAJAN,BJP,Madhya Pradesh,1999
UJJAIN (SC),DR. SATYANARAYAN JATIYA,BJP,Madhya Pradesh,1999
JHABUA (ST),KANTILAL BHURIYA,INC,Madhya Pradesh,1999
MANDSAUR,DR. LAKSHAMINARAYAN PANDEY,BJP,Madhya Pradesh,1999
RAJAPUR,SURESH PRABHAKAR PRABHU,SHS,Maharastra,1999
RATNAGIRI,ANANT GANGARAM GEETE,SHS,Maharastra,1999
KOLABA,RAMSHETH THAKUR,PWPI,Maharastra,1999
MUMBAI SOUTH,JAYAWANTI MEHTA,BJP,Maharastra,1999
MUMBAI SOUTH CENTRAL,MOHAN VISHNU RAWALE,SHS,Maharastra,1999
MUMBAI NORTH CENTRAL,MANOHAR GAJANAN JOSHI,SHS,Maharastra,1999
MUMBAI NORTH EAST,KIRIT SOMAIYA,BJP,Maharastra,1999
MUMBAI NORTH WEST,SUNIL DUTT,INC,Maharastra,1999
MUMBAI NORTH,RAM NAIK,BJP,Maharastra,1999
THANE,PRAKASH PARANJPE,SHS,Maharastra,1999
DAHANU (ST),ADV CHINTAMAN WANAGA,BJP,Maharastra,1999
NASHIK,DHIKALE UTTAMRAO NATHUJI,SHS,Maharastra,1999
MALEGAON (ST),MAHALE HARIBAHU SHANKAR,JD(S),Maharastra,1999
DHULE (ST),RAMDAS RUPLA GAVIT,BJP,Maharastra,1999
NANDURBAR (ST),GAVIT MANIKRAO HODLYA,INC,Maharastra,1999
ERANDOL,ANNASAHEB M K PATIL,BJP,Maharastra,1999
JALGAON,Y G MAHAJAN SIR,BJP,Maharastra,1999
BULDHANA (SC),ADSUL ANANDRAO VITHOBA,SHS,Maharastra,1999
AKOLA,AMBEDKAR PRAKASH YASHWANT,BBM,Maharastra,1999
WASHIM,BHAWANA PUNDLIKRAO GAWALI,SHS,Maharastra,1999
AMRAVATI,GUDHE ANANT MAHADEOAPPA,SHS,Maharastra,1999
RAMTEK,SUBODH MOHITE,SHS,Maharastra,1999
NAGPUR,VILAS MUTTEMWAR,INC,Maharastra,1999
BHANDARA,CHUNNILALBHAU THAKUR,BJP,Maharastra,1999
CHIMUR,DIWATHE NAMDEO HARBAJI,BJP,Maharastra,1999
CHANDRAPUR,PUGLIA NARESHKUMAR CHUNNALAL,INC,Maharastra,1999
WARDHA,PRABHA RAO,INC,Maharastra,1999
YAVATMAL,UTTAMRAO DEORAO PATIL,INC,Maharastra,1999
HINGOLI,MANE SHIVAJI GYANBARAO,SHS,Maharastra,1999
NANDED,KHATGAONKAR BHASKARRAO BAPURAO,INC,Maharastra,1999
PARBHANI,JADHAV SURESH RAMRAO,SHS,Maharastra,1999
JALNA,DANVE RAOSAHEB DADARAO PATIL,BJP,Maharastra,1999
AURANGABAD,CHANDRAKANT KHAIRE,SHS,Maharastra,1999
BEED,JAYSINGRAO GAIKWAD PATIL,BJP,Maharastra,1999
LATUR,PATIL SHIVRAJ VISHWANATH,INC,Maharastra,1999
OSMANABAD (SC),KAMBLE SHIVAJI VITHALRAO,SHS,Maharastra,1999
SHOLAPUR,SHINDE SUSHILKUMAR SAMBHAJIRAO,INC,Maharastra,1999
PANDHARPUR (SC),ATHAWALE RAMDAS BANDU,IND,Maharastra,1999
AHMEDNAGAR,DILIPKUMAR MANSUKHLAL GANDHI,BJP,Maharastra,1999
KOPARGAON,E V ALIAS BALASAHEB VIKHE PATIL,SHS,Maharastra,1999
KHED,ASHOK NAMDEORAO MOHOL,NCP,Maharastra,1999
PUNE,PRADEEP RAWAT,BJP,Maharastra,1999
BARAMATI,PAWAR SHARADCHANDRA GOVINDRAO,NCP,Maharastra,1999
SATARA,LAXMANRAO PANDURANG JADHAV PATIL,NCP,Maharastra,1999
KARAD,SHRINIWAS DADASAHEB PATIL (MARULKAR),NCP,Maharastra,1999
SANGLI,PRAKASH (BAPU) VASANTRAO PATIL,INC,Maharastra,1999
ICHALKARANJI,MANE NIVEDITA SAMBHAJIRAO,NCP,Maharastra,1999
KOLHAPUR,MANDLIK SADASHIVRAO DADOBA,NCP,Maharastra,1999
INNER MANIPUR,TH. CHAOBA,MSCP,Manipur,1999
OUTER MANIPUR (ST),HOLKHOMANG,NCP,Manipur,1999
SHILLONG,PATY RIPPLE KYNDIAH,INC,Meghalaya,1999
TURA,PURNO AGITOK SANGMA,NCP,Meghalaya,1999
MIZORAM (ST),VANLALZAWMA,IND,Mizoram,1999
NAGALAND,K. ASUNGBA SANGTAM,INC,Nagaland,1999
MAYURBHANJ (ST),SALKHAN MURMU,BJP,Orissa,1999
BALASORE,MAHAMEGHABAHAN AIRA KHARABELA SWAIN B,JP,Orissa,1999
BHADRAK (SC),ARJUN CHARAN SETHI,BJD,Orissa,1999
JAJPUR (SC),JAGANNATH MALLIK,BJD,Orissa,1999
KENDRAPARA,PRABHAT KUMAR SAMANTRAY,BJD,Orissa,1999
CUTTACK,BHARTRUHARI MAHTAB,BJD,Orissa,1999
JAGATSINGHPUR,TRILOCHAN KANUNGO,BJD,Orissa,1999
PURI,BRAJA KISHORE TRIPATHY,BJD,Orissa,1999
BHUBANESWAR,PRASANNA KUMAR PATASANI,BJD,Orissa,1999
ASKA,NAVEEN PATNAIK,BJD,Orissa,1999
BERHAMPUR,ANADICHARAN SAHU,BJP,Orissa,1999
KORAPUT (ST),HEMA GAMANG,INC,Orissa,1999
NOWRANGPUR (ST),PARSURAM MAJHI,BJP,Orissa,1999
KALAHANDI,BIKRAM KESHARI DEO,BJP,Orissa,1999
PHULBANI (SC),PADMANAVA BEHERA,BJD,Orissa,1999
BOLANGIR,SANGEETA KUMARI SINGH DEO,BJP,Orissa,1999
SAMBALPUR,PRASANNA ACHARYA,BJD,Orissa,1999
DEOGARH,DEBENDRA PRADHAN,BJP,Orissa,1999
DHENKANAL,KAMAKHYA PRASAD SINGH DEO,INC,Orissa,1999
SUNDARGARH (ST),JUAL ORAM,BJP,Orissa,1999
KEONJHAR (ST),ANANTA NAYAK,BJP,Orissa,1999
GURDASPUR,VINOD KHANNA,BJP,Punjab,1999
AMRITSAR,RAGHUNANDAN LAL BHATIA,INC,Punjab,1999
TARN TARAN,TARLOCHAN SINGH TUR,SAD,Punjab,1999
JULLUNDUR,BALBIR SINGH,INC,Punjab,1999
PHILLAUR (SC),SANTOSH CHOWDHARY,INC,Punjab,1999
HOSHIARPUR,CHARANJIT SINGH CHANNI,INC,Punjab,1999
ROPAR (SC),SHAMSHER SINGH,INC,Punjab,1999
PATIALA,PRENEET KAUR,INC,Punjab,1999
LUDHIANA,GURCHARAN SINGH GALIB,INC,Punjab,1999
SANGRUR,SIMRANJIT SINGH MANN,SAD(M),Punjab,1999
BHATINDA (SC),BHAN SINGH BHAURA,CPI,Punjab,1999
FARIDKOT,JAGMEET SINGH BRAR,INC,Punjab,1999
FEROZEPUR,ZORA SINGH,SAD,Punjab,1999
GANGANAGAR (SC),NIHAL CHAND,BJP,Rajasthan,1999
BIKANER,RAMESHWAR LAL DUDI,INC,Rajasthan,1999
CHURU,RAM SINGH KASWAN,BJP,Rajasthan,1999
JHUNJHUNU,SISRAM OLA,INC,Rajasthan,1999
SIKAR,SUBHASH MAHARIA,BJP,Rajasthan,1999
JAIPUR,GIRDHARI LAL BHARGAVA,BJP,Rajasthan,1999
DAUSA,RAJESH PILOT,INC,Rajasthan,1999
ALWAR,DR. JASWANT SINGH YADAV,BJP,Rajasthan,1999
BHARATPUR,VISHVENDRA SINGH,BJP,Rajasthan,1999
BAYANA (SC),BAHADUR SINGH,BJP,Rajasthan,1999
SAWAI MADHOPUR (ST),JASKAUR,BJP,Rajasthan,1999
AJMER,RASA SINGH RAWAT,BJP,Rajasthan,1999
TONK (SC),SHYAM LAL BANSIWAL,BJP,Rajasthan,1999
KOTA,RAGHUVEER SINGH KOUSHAL,BJP,Rajasthan,1999
JHALAWAR,VANSUNDHARA RAJE,BJP,Rajasthan,1999
BANSWARA (ST),TARA CHAND BHAGORA,INC,Rajasthan,1999
SALUMBER (ST),BHERU LAL MEENA,INC,Rajasthan,1999
UDAIPUR,GIRIJA VYAS,INC,Rajasthan,1999
CHITTORGARH,SHRICHAND KRIPLANI,BJP,Rajasthan,1999
BHILWARA,VIJAYENDRA PAL SINGH,BJP,Rajasthan,1999
PALI,PUSP JAIN,BJP,Rajasthan,1999
JALORE (SC),BUTA SINGH,INC,Rajasthan,1999
BARMER,COL. SONARAM CHOUDHARY,INC,Rajasthan,1999
JODHPUR,JASWANT SINGH VISHNOI,BJP,Rajasthan,1999
NAGAUR,RAM RAGHUNATH CHOUDHARY,INC,Rajasthan,1999
SIKKIM,BHIM PD. DAHAL,SDF,Sikkim,1999
MADRAS NORTH,"KUPPUSAMY, C.",DMK,Tamil Nadu,1999
MADRAS CENTRAL,MURASOLI MARAN,DMK,Tamil Nadu,1999
MADRAS SOUTH,"BAALU, T.R.",DMK,Tamil Nadu,1999
SRIPERUMBUDUR (SC),"KRISHNASWAMY, A.",DMK,Tamil Nadu,1999
CHENGALPATTU,"MOORTHY, A.K.",PMK,Tamil Nadu,1999
ARAKKONAM,"JAGATHRAKSHAKAN, S. DR.",DMK,Tamil Nadu,1999
VELLORE,"SHANMUGAM, N.T.",PMK,Tamil Nadu,1999
TIRUPPATTUR,"VENUGOPAL, D.",DMK,Tamil Nadu,1999
VANDAVASI,"DURAI, M.",PMK,Tamil Nadu,1999
TINDIVANAM,RAMACHANDRAN N. GINGEE.,MDMK,Tamil Nadu,1999
CUDDALORE,"SANKAR, ADHI",DMK,Tamil Nadu,1999
CHIDAMBARAM (SC),"PONNUSWAMY, E.",PMK,Tamil Nadu,1999
DHARMAPURI,"ELANGOVAN, P.D.",PMK,Tamil Nadu,1999
KRISHNAGIRI,"VETRISELVAN, V.",DMK,Tamil Nadu,1999
RASIPURAM (SC),"SAROJA, V. DR.",ADMK,Tamil Nadu,1999
SALEM,"SELVAGANAPATHI, T.M.",ADMK,Tamil Nadu,1999
TIRUCHENGODE,"KANNAPPAN, M.",MDMK,Tamil Nadu,1999
NILGIRIS,"MATHAN, M. (ALIAS) MASTER MATHAN, M.",BJP,Tamil Nadu,1999
GOBICHETTIPALAYAM,"KALIAPPAN, K.K.",ADMK,Tamil Nadu,1999
COIMBATORE,"RADHAKRISHNAN, C.P.",BJP,Tamil Nadu,1999
POLLACHI (SC),"KRISHNAN, DR.C.",MDMK,Tamil Nadu,1999
PALANI,"KUMARASAMY, P.",ADMK,Tamil Nadu,1999
DINDIGUL,"SREENIVAASAN, C.",ADMK,Tamil Nadu,1999
MADURAI,"MOHAN, P.",CPM,Tamil Nadu,1999
PERIYAKULAM,"DHINAKARAN,",ADMK,Tamil Nadu,1999
KARUR,"CHINNASAMY, M.",ADMK,Tamil Nadu,1999
TIRUCHIRAPPALLI,ARANGARAJAN KUMARAMANGALAM,BJP,Tamil Nadu,1999
PERAMBALUR (SC),RAJA. A.,DMK,Tamil Nadu,1999
MAYILADUTURAI,MANISHANKAR AIYAR,INC,Tamil Nadu,1999
NAGAPATTINAM (SC),"VIJAYAN, A.K.S.",DMK,Tamil Nadu,1999
THANJAVUR,PALANIMANICKAM.S.S.,DMK,Tamil Nadu,1999
PUDUKKOTTAI,THIRUNAVUKARASU,MADMK,Tamil Nadu,1999
SIVAGANGA,"SUDARSANA NATCHIAPPAN,E.M.",INC,Tamil Nadu,1999
RAMANATHAPURAM,MALAISAMY.K.,ADMK,Tamil Nadu,1999
SIVAKASI,VAIKO,MDMK,Tamil Nadu,1999
TIRUNELVELI,"PANDIAN, P.H.",ADMK,Tamil Nadu,1999
TENKASI (SC),"MURUGESAN,S.",ADMK,Tamil Nadu,1999
TIRUCHENDUR,"JAYASEELAN, A.D.K.",DMK,Tamil Nadu,1999
NAGERCOIL,"RADHAKRISHNAN,P.",BJP,Tamil Nadu,1999
TRIPURA WEST,SAMAR CHOWDHURY,CPM,Tripura,1999
TRIPURA EAST (ST),BAJU BAN RIYAN,CPM,Tripura,1999
TEHRI GARHWAL,MANABENDRA SHAH,BJP,Uttar Pradesh,1999
GARHWAL,MAJ GEN. (RTD) BHUWAN CHANDRA KHANDURI(A.V.S.M.),BJP,Uttar Pradesh,1999
ALMORA,BACHI SINGH RAWAT,BJP,Uttar Pradesh,1999
NAINITAL,NARAYAN DATT TIWARI,INC,Uttar Pradesh,1999
BIJNOR (SC),SHEESHRAM SINGH RAVI,BJP,Uttar Pradesh,1999
AMROHA,RASHID ALVI,BSP,Uttar Pradesh,1999
MORADABAD,CHANDRA VIJAY SINGH ALIAS BABY RAJA,ABLTC,Uttar Pradesh,1999
RAMPUR,BEGUM NOOR BANO URF MAHTAB ZAMANI BEGUM,INC,Uttar Pradesh,1999
SAMBHAL,MULAYAM SINGH YADAV,SP,Uttar Pradesh,1999
BUDAUN,SALEEM IQBAL SHERVANI,SP,Uttar Pradesh,1999
AONLA,KUNWAR SARVRAJ SINGH,SP,Uttar Pradesh,1999
BAREILLY,SANTOSH GANGWAR,BJP,Uttar Pradesh,1999
PILIBHIT,MANEKA GANDHI,IND,Uttar Pradesh,1999
SHAHJAHANPUR,KR. JITENDRA PRASAD,INC,Uttar Pradesh,1999
KHERI,RAVI PRAKASH VERMA,SP,Uttar Pradesh,1999
SHAHABAD,DAUD AHMAD,BSP,Uttar Pradesh,1999
SITAPUR,RAJESH VERMA,BSP,Uttar Pradesh,1999
MISRIKH (SC),SUSHILA SAROJ,SP,Uttar Pradesh,1999
HARDOI (SC),JAI PRAKASH,ABLTC,Uttar Pradesh,1999
LUCKNOW,ATAL BIHARI VAJPAYEE,BJP,Uttar Pradesh,1999
MOHANLALGANJ (SC),REENA CHOWDHARY,SP,Uttar Pradesh,1999
UNNAO,DEEPAK KUMAR,SP,Uttar Pradesh,1999
